d4, i0 i1, p2 p2, g3
d1160, i1159, , 
d1163, i1161, p294, g1162
d1165, i1164, p294, g1162
d1168, i1166, p1167, g845 g45
d1171, i1169, p356, g845 g1170 g945 g752
d1174, i1166, , g1172 g1173 g945 g845
d1176, i1175, p642, g845
d1177, i1175, p642, g845
d1178, i1166, p161, g845 g45 g263
d1179, i1, p2, 
d1180, i1, p2, 
d1182, i1181, p294, g759
d1183, i1181, p294, g759
d1186, i1164, p1184 p1185, 
d1189, , , g1187 g1188
d1190, , p701, 
d1192, i1191, , g52
d1194, , p1193, 
d1195, i81, p82, 
d1196, i114, , 
d1197, i572, , 
d1199, i1198, , 
d1201, , p1200, 
d1203, i1202, , g22
d1205, , , g1204
d1206, , , g1204
d1207, , , g659 g402
d1208, , , g400 g1108
d1209, i259, , g400 g1108 g38
d1210, i406, p583, g602
d1211, i572, p583, g602
d1212, i406, p583 p82, 
d1213, , p26, 
d1214, , p26, 
d1215, i114, , 
d1216, i81, p82, 
d1217, i554, p82, 
d1218, i6 i537, , 
d1219, , , g22
d1220, i239, , g79
d1221, i1191, , 
d1222, , , g432 g498
d1223, , , g22
d1224, , , g284
d1226, , , g1225
d1228, , , g1227 g432
d1230, , p327, g659 g432 g1229
d1231, , , g432 g498
d1232, , p17, g432
d1233, , p327, g659 g432 g1229
d1234, , , g563
d1235, , , g432
d1237, , p1236, 
d1238, , , g432
d1239, , p17, g432 g1204 g834
d1241, , , g1240 g453
d1242, , , g34 g432
d1244, , p1193, g22 g1243
d1246, , , g1225 g1245
d1247, , , g68
d1248, , p701, g432
d1252, , p701, g659 g1249 g1250 g1251
d1254, i1253, p106, g486 g413 g432
d1256, , p106, g1255 g486 g413 g432
d1258, , p106, g1257 g432
d1259, , , g60
d1260, , , g432
d1261, , p701, g34 g432
d1262, , p701, g659 g1249 g1251 g1250
d1266, i1263, p1264, g899 g921 g1265
d1267, i16, p17, 
d1268, , , g132 g131 g451
d1270, , , g1269 g432
d1271, i278, p8, 
d1272, , p316, 
d1273, , , g312
d1274, i1, , 
d1275, i1, , 
d1277, i1, , g1276 g195
d1278, i1, , g432
d1280, i1, , g1279
d1281, i1, , g67
d1282, i114, p636, 
d1283, i288, p82, g79
d1284, , p29, 
d1285, , p82, g432 g1229
d1286, , , g659 g402
