d4, i0 i1, p2 p2, g3
d23282, i2776, p87, 
d23283, i4303, p87, g22
d23284, , p8, 
d23285, , p8, 
d23286, , p8, 
d23287, , , g22
d23288, i579, p8, g1109
d23289, , p77, 
d23290, i114, p124 p9338, 
d23291, i216, , 
d23292, i114, , 
d23293, i114, , 
d23294, i114, , 
d23295, i114, , 
d23296, i114, , 
d23297, i114, , 
d23298, i114, , 
d23299, i114, , 
d23300, i114, p636 p82, 
d23301, i114, p636 p82, 
d23302, , p124, 
d23303, i114, , 
d23304, i579, p2, 
d23305, i128, p26 p8, g6149
d23306, i128, p8, g38
d23307, i128, p8, g5784
d23308, i128, p8, 
d23309, i579, , 
d23310, , p161, g79
d23311, , p161, g79
d23312, i579, p8, 
d23313, i579, , 
d23314, i579, p82, g79
d23315, i579, , g402 g1378 g763
d23316, i579, p26, 
d23317, , p112, 
d23318, i114, , 
d23319, i3911, p8, g79
d23320, i510, p82, g1287 g100 g178 g79
d23322, i23321, , 
d23323, , p43, 
d23324, i114, p2, 
d23325, i123, , 
d23326, i123, p636, g538
d23327, i114, p87, 
d23328, , , g7794
d23329, i114, , 
d23330, i66, p17 p106, 
d23331, , p106, 
d23332, , p106, 
d23333, , p217, 
d23334, , , g22
d23335, , p230 p14152, 
d23336, i2580, , 
d23337, , p87, 
d23338, , p106 p82, g34 g1031
d23339, , p8, 
d23340, , , g121 g1031
d23341, , , g68 g22
d23342, i20829, , g1854 g4544
d23343, , , g413 g95 g498 g1170 g765 g432 g544
d23344, i1323, p26, g2114 g432 g515 g770
d23345, , , g38
d23347, i23346, p796, g515
d23348, , p5319, 
d23349, , p2769, g45
d23350, , , g91
d23352, i23351, p10204, 
d23353, i23351, p10204, 
d23354, i23351, p10204, 
d23355, i23351, p10204, 
d23356, i23351, p10204, 
d23357, i23351, p10204, 
d23358, i23351, p10204, 
d23359, i23351, p10204, 
d23360, i23351, p10204, 
d23361, i23351, p10204, 
d23362, i23351, p10204, 
d23363, i23351, p10204, 
d23364, i23351, p10204, 
d23365, i23351, p10204, 
d23366, i23351, p10204, 
d23367, i23351, p10204, 
d23368, i23351, p10204, 
d23369, , , g90 g20
d23370, , , g90 g20
d23371, , , g90 g20
d23372, , p161, 
d23373, , p8, g20
d23374, , , g90 g470 g158
d23375, i1140, p356, 
d23377, i5329, p5324, g23376
d23379, i23378, p388, 
d23380, i1140, p435, 
d23381, , p9284, 
d23382, i2989, p2733, 
d23383, , p106, 
d23384, , p106, 
d23385, , p106, 
d23386, , p106, 
d23387, i3287, , 
d23388, , p6816, 
d23389, , p87, 
d23391, i23390, , g793
d23395, , p26, g143 g402 g574 g23392 g178 g23393 g718 g2046 g7695 g23394 g659 g5158
d23396, , , g1918
d23397, , , g1024 g20 g36 g1823 g253 g485
d23398, , p8, g551 g36 g37 g253 g485 g451
d23399, , , g485 g36 g551 g451 g552
d23400, , p26, g380 g3916
d23401, , p106, 
d23402, , p106, 
d23403, , p43, 
d23404, , p231, 
d23405, , , g52 g298
d23406, i103, p161, g90 g22
d23407, , , g90 g78 g22 g79
d23408, , , g121 g1031
d23409, , p106 p82, 
d23410, , p240, 
d23411, i2598, , 
d23412, i123, p636, 
d23413, , p894, 
d23414, i406 i303, p89, 
d23415, i157, p8, g36 g37 g1850
d23416, i228, , 
d23417, i228, , 
d23418, i228, , 
d23419, i472, p77, g1304
d23420, , , g91
d23421, , p106, g108
d23422, , , g432 g95 g1279 g429
d23423, , p3678, 
d23424, i475, p8, g470
d23425, , p8, 
d23426, , , g79
d23427, i4720, p8, 
d23428, i4720, p8, 
d23429, , p3678, 
d23430, , p8, 
d23431, , p244, 
d23432, , p8, 
d23433, i475, p8, g470
d23434, i303, p8, 
d23435, i175, p8, 
d23436, , , g270
d23437, i182, p8, 
d23438, i11983, , 
d23439, i288, p106 p82, 
d23441, i23440, p9720, 
d23442, i23440, p9722, 
d23444, i23443, p9720, 
d23445, i23443, p9722, 
d23446, i278, p77, 
d23447, , p77, 
d23448, , p636, 
d23449, i259, p161, g90 g312 g765 g22 g4536
d23450, , , g400 g413 g210
d23452, i23451, , 
d23453, i3707, , g839 g5015 g5855 g1138 g3002
d23454, i228, , 
d23455, i228, , 
d23456, i228, , 
d23459, i461 i23457 i23458, p26, 
d23460, i461 i23457 i23458 i4331, p26, 
d23461, i1253, p19013, 
d23462, i11369 i1253, p13334, g328
d23464, i23463, p1521 p4143, g9242 g610
d23465, i23463 i16404, p1521 p4143 p26, g9242
d23466, i426, p427, g453
d23467, i1359, , 
d23469, i23468, p183, g1487
d23470, i2524, p8, 
d23471, , p161, g47 g491
d23472, , p82, g22
d23473, , , g542 g45
d23474, i354, p327, 
d23475, , p327, 
d23476, , p87, 
d23477, , , g47 g13 g204
d23478, , , g350
d23479, , , g549 g2833 g36 g449 g2506 g1265 g6207
d23480, , p29, 
d23481, , p198 p15069, g807 g1041 g551 g1850
d23482, i4720, p8, 
d23483, i157, , g90 g6149 g2746 g20 g3
d23484, i6953, p8, 
d23485, i2717, , g118
d23486, , p1858, 
d23487, , p1858, 
d23488, , p1858, 
d23489, , p3233, g400
d23490, i572, p8, g173
d23491, i572, p8 p2849, g173
d23492, , , g20416
d23493, i572, , g801 g79 g318 g270
d23494, i1074, p104, 
d23495, i572, , 
d23496, i572, , 
d23497, i572, , g1025 g79
d23498, i554, p161 p82, 
d23499, i572, , 
d23500, i572, , 
d23501, i572, p356, 
d23502, i572, , 
d23503, i572, , g22
d23504, i3197, p8, 
d23505, i3197, p8, 
d23506, i123, , 
d23507, i1741, p344, 
d23508, i1741, p344, 
d23509, i1741, p344, 
d23510, i1741, p344, 
d23511, i426, p87, 
d23512, i426, p87, 
d23513, i426, p87, 
d23514, i426, p87, 
d23515, i426, p87, 
d23516, i426, p87, 
d23517, i426, p87, 
d23518, i426, p87, 
d23519, i426, p87, 
d23520, i426, p87, 
d23521, i426, p87, 
d23522, i426, p87, 
d23523, i1373, p1096, 
d23524, i619, p43, g13 g263
d23525, , , g413 g95 g430 g432 g22 g1109 g60
d23526, , p106, 
d23527, , p106, 
d23528, , p106, 
d23529, , p106, g108
d23530, , p106, g1503 g108
d23531, , p356, g584 g95 g432 g1453 g14950 g312
d23532, , p642, 
d23533, , p642, 
d23534, , p642, 
d23535, , p104, 
d23536, i2742, p642, 
d23537, , p356, 
d23538, , , g75 g210 g298 g839 g602 g79
d23539, , , g1025 g75
d23541, i23540, , g615 g52 g616
d23542, , p356, g527 g1918
d23543, i175, p161, 
d23544, i175, p161, g2788
d23545, i1040, p31, g759 g1042
d23546, , , g110
d23547, i360 i2019, , 
d23548, , p26 p29, g1255 g34 g413 g430
d23549, , p106, g413
d23550, , , g485 g36 g6183
d23551, , , g22 g1243
d23553, i23552, p12825, g1759
d23554, i23552, p12825, 
d23555, i23552, p26 p12825, 
d23556, i12824, p12825, g2081
d23557, i12824, p12825, g2081 g312
d23558, i23552, p12825, 
d23559, i12824, p12825, g2081
d23560, i12824, p12825, g2081
d23561, i12824, p12825, g2081 g312
d23562, i23552, p12825, g312
d23564, i23563, p12825, 
d23565, i23563, p12825, 
d23566, i23563, p12825, 
d23567, i23563, p12825, 
d23568, i461, p12825, 
d23569, i461, p12825, 
d23570, i461, p12825, 
d23571, i461, p12825, 
d23572, i461, p12825, 
d23573, i461, p12825, 
d23574, i461, p12825, 
d23575, i461, p12825, 
d23576, i461, p12825, 
d23578, i23577, p77 p5787, 
d23579, i5786 i16 i1, p17 p5787 p2, g1757
d23580, i23577, p5787, 
d23581, i5791, p3851, 
d23582, i5791, p3851, g1076
d23583, i5794, p327 p5795, g1229
d23585, i23584, p5787, 
d23587, i23586, p5787, g68 g1757
d23589, i23588, p5787, 
d23590, i23588, p5787, g1229
d23591, i23586, p5787, 
d23592, i23586, p5787, 
d23593, i461, p22100, 
d23594, i5791, p183, 
d23595, i5791, p183, g1076
d23596, i23577, p5787, 
d23597, i23577, p5787, 
d23598, i5786, p77 p5787, g3948 g1229
d23599, i23584, p5787, 
d23600, i23584, p5787, 
d23602, i23601, p1429, 
d23605, i23603, p23604 p10099, g68 g1757
d23606, i288 i288 i81, p82, 
d23607, i1485, p183, g2081
d23608, i4911, p26 p183, 
d23609, i0 i897, , g1076
d23610, i1098, p2, 
d23611, i19631, p356, 
d23612, i1200, p2740, g8333 g2886 g444 g1564 g1138 g1563
d23614, i23613, p356, 
d23615, i8390, p2135, 
d23617, i23616 i897, p77, g312 g22 g775
d23618, i1519 i16, p17, g67 g68
d23619, i182, , g1766
d23620, i1519, , 
d23621, i182, , 
d23622, i1519 i16, p17, g195
d23623, i1519 i16, p17, 
d23624, i5990, p183, 
d23625, i5301, p895, 
d23626, , p356, g440
d23627, i13252, p77, g68 g22 g495
d23628, i259, p161, 
d23629, i406, p161, 
d23630, i23613, , 
d23631, i439, p77, g312
d23632, i424, p183, 
d23633, i1771, , g4912 g1076
d23634, i5990, p77, 
d23635, i1519, , g1757
d23636, i1523, p77, 
d23637, i13252, p77, 
d23638, i1523, p77, 
d23639, i288 i288 i81, p82, 
d23640, i1485, p183, 
d23641, i4911, p26 p183, g1076
d23642, i4911, p26 p183, 
d23643, i4911, p26 p183, 
d23644, i4336, p161 p1642, 
d23645, i0 i897, , g312
d23646, i0 i897, , g312 g1757 g774 g1076
d23647, i0 i897, , g1757 g774
d23648, i0 i897, , g1757 g774
d23649, , p17 p327, 
d23650, , p17 p327, 
d23651, , p17 p327, 
d23652, i1098, p2, 
d23653, i1166, p161, g845 g847
d23654, i1599, p31, 
d23655, i1599, p31, 
d23656, i1599, p31, 
d23657, i288, p82, 
d23658, i288, , 
d23659, i16, p17, 
d23660, i16, p17, 
d23661, i1519 i16, p17, 
d23662, i16, p4190 p17, 
d23663, i1519 i16, p17, 
d23664, i16, p4190 p17, g67 g34
d23665, i16, p4190 p17, g67 g34
d23666, i439, p161, g430
d23667, i4336, p161, 
d23668, i5301, p895, 
d23669, i5301, p895, 
d23670, i5301, p895, 
d23671, i439, p356, g440
d23672, i1537, , g22 g775
d23673, i4336 i897, p2, g432 g22 g312 g1229 g775
d23674, i572, , 
d23675, i182, , 
d23676, i182, , 
d23677, i182, , 
d23678, i406, p356, 
d23679, i406, p356, 
d23680, i406, p356, 
d23681, i182, p356, 
d23682, , , g1229
d23683, i1771, , g1076
d23684, i1771, , g1076
d23685, i1771, , g1076
d23686, i1771, , g1076
d23687, i22105, p161, g1276 g195
d23688, i182, , 
d23689, i182, , 
d23690, i182, , 
d23691, i4336, , 
d23692, i6750, p26 p183, 
d23693, i6750, p26 p183, 
d23694, i6750, p26 p183, 
d23695, i175, p161, 
d23696, i13252, p161, 
d23697, i22105, p161, 
d23698, i1519 i16, p17, g1757
d23699, i22105, p161, 
d23700, i1373, p183, 
d23701, i4911, p26 p183, g432 g498 g1076
d23702, i4911, p26 p183, g432 g498 g1076
d23703, i1166, p161, 
d23705, i23704, p161, g22
d23706, i23704, p161, g22
d23707, i1599, p31, 
d23708, i81, , 
d23709, i16 i81, p17 p106, 
d23710, i16, p4190 p17, 
d23711, i16, p4190 p17, 
d23712, i1519 i16, p4190 p17, g67 g34
d23713, i1519 i16, p4190 p17, g67 g34
d23714, i13252, p77, 
d23715, i406, p161, 
d23716, i2921, p161, 
d23717, i439, p161, 
d23718, i5301, p895, 
d23719, i4336, p161, 
d23720, i12267, p161, 
d23721, i354, p161, g432
d23722, i182, p161, 
d23723, i182, p161, 
d23724, , p327 p77, 
d23725, , p43 p327, 
d23726, i406, p356, 
d23727, i439, p161, 
d23728, i182, p161, 
d23729, i182, p161, 
d23730, i22105, p161, 
d23731, i1, p2, 
d23732, i1, p2, 
d23733, i6750, p26 p183, 
d23734, i6750, p26 p183, 
d23735, i182, p161, 
d23736, i182, p161, 
d23737, i16, p4190, g1757
d23738, i16, p4190 p17, g1757
d23739, i4336, p161, 
d23740, i1166, p161, 
d23741, i175, p77, 
d23742, i16, p4190 p17, 
d23743, i15020, p161, 
d23744, i2921, p161, 
d23745, i5301, p895, g2081
d23746, i182, p161, 
d23747, i406, p356, 
d23748, i12267, p161, 
d23749, i182, p161, g432
d23750, i16, p4190, g1757 g45
d23751, i23540, p161, 
d23752, , p8, 
d23753, i2906, p2888, g10156 g5338 g9027
d23754, , p894 p209, 
d23755, , p26, g210 g770 g7016
d23758, i23756, p26 p23757, 
d23759, i23756, p26 p23757, 
d23760, i23756, p26 p23757, 
d23761, i23756, p26 p23757, 
d23762, i23756, p23757, g20
d23763, i23756, p23757, g312 g1757 g774
d23764, , p5098, 
d23765, , p8, 
d23766, , p8, 
d23767, , , g22
d23768, , p77, g47
d23769, i2776, p87, g491
d23770, i2776, p87, 
d23771, i2776, p87, 
d23772, i2776, p87, 
d23773, i4396, p87, 
d23774, i4396 i1402, p87, 
d23775, i1402 i4182, p1396, 
d23776, i4275, p12958, 
d23777, i2776, p87, g22 g3805
d23778, i2776, p87, g22
d23779, i4249, p87, g34
d23780, , , g298
d23781, , p367, g22 g375
d23782, , p367, 
d23783, , p367, 
d23784, , p77, g78 g22 g79
d23785, , p87, 
d23786, , p367, 
d23787, i374, p17, g3355 g605 g3356 g375 g22
d23788, i22830, , g22 g375
d23789, i572, , g52
d23790, i572, p87, g1980 g793 g22 g180 g375
d23791, , , g298
d23792, , , g298
d23793, , , g298
d23794, i537, p583 p82, g79 g1613 g298
d23795, , , g2033 g574 g3981
d23796, , , g2033 g574 g3981
d23797, , , g2033 g574 g3981
d23798, i1771, p2119 p1264 p308 p32 p26, g24 g298 g52 g602 g440 g75 g1076
d23799, i278, p8, g24
d23800, , p26 p183 p356, g12378 g24 g603
d23801, , p240, g52 g312 g298
d23802, i537, , g52 g1980 g22 g375
d23803, , , g22 g375
d23804, , p87, g52 g1980 g22 g375
d23805, , , g298
d23806, i1771, p2119 p1264 p308 p32 p26, g24 g298 g52 g602 g440 g75 g1076
d23807, i1523, , g298
d23808, , p87, 
d23809, i1, p895 p31, g400 g52 g403
d23810, i1, p895 p31, g400 g52 g403
d23811, i1771 i1861 i1263, p26, g52 g1076 g75 g318 g616
d23812, , , g75
d23813, , , g75
d23814, , , g75
d23815, , , g75
d23816, , p161, 
d23817, , p161 p82, 
d23818, , p161 p82, 
d23819, i1847, p2101, g52 g1980 g375
d23820, i572, , g24 g603
d23821, i572, p26, g793
d23822, i3287, p1236, g52 g298
d23823, , , g1980 g24
d23824, , , g52 g298
d23825, i4242, p87, g375 g22 g298
d23826, i103, , g573 g79 g210
d23827, , p356, g602 g605
d23828, i4242, p161 p1029, g298
d23829, , p356, g375 g22 g298
d23830, i103, p104, 
d23831, , p244, g375 g298 g22 g79
d23832, , , g1854 g1287 g413 g402
d23833, , , g1854 g1287 g413 g402
d23834, , , g95 g2910 g2788 g708 g284 g1225 g1320 g711
d23835, i175, p2101 p82, 
d23836, i619, , 
d23837, i619, , 
d23838, , p796, 
d23839, i4562, p2, g1378
d23840, , , g754
d23841, i572, , 
d23842, i572, , 
d23843, i572, , g38
d23845, i23844, p322, g2885
d23847, i23846, p322, 
d23849, i23848, p322, 
d23851, i23850, p322, g21651
d23853, i23852, p322, 
d23855, i23854, p322, 
d23857, i23856, p322, 
d23859, i23858, p322, g5174
d23861, i23860, p322, g2708 g6188 g2977
d23863, i23862, p322, 
d23865, i23864, p322, g22
d23867, i23866, p322, 
d23869, i23868, p87, 
d23870, , , g298
d23871, , , g763 g774
d23872, , , g312 g432 g430 g498 g263
d23874, i23873, , g95 g429 g7649 g432 g60 g504
d23875, , , g60 g432
d23876, i1537, , g659 g402
d23877, , p106, 
d23878, , p106, 
d23879, , , g432 g60 g95 g1229 g3948
d23880, , , g60
d23881, , p106, 
d23882, , p106, 
d23883, , p106, 
d23884, , , g60
d23885, , p106, g432
d23886, i6, , 
d23887, i259, p26, g3280 g504 g429
d23888, i10119, p87, g22 g498 g775
d23889, , p161, g430 g806 g432 g1265 g566 g60 g13805 g10067
d23890, i1537, , g95 g22 g429 g775
d23891, i426, p427, g432 g95 g430
d23892, , p161, g432 g95 g1265
d23893, i2776, p87, g60 g95
d23894, , , g95 g429 g430 g431 g432 g22 g566 g775 g501
d23895, i537, , g1916 g402 g95 g498 g659 g7649 g432 g60 g504 g312
d23896, , , g3948
d23897, i537, p1871, g312 g765 g20 g430
d23898, i537, p1871, g312 g765 g20 g430
d23899, i4308, p87, 
d23900, , p77, g13 g95 g22 g429
d23901, , , g95 g22 g429
d23902, , , g3805 g1229
d23903, , , g312
d23904, , , g486 g413
d23905, , , g312 g95 g498 g430
d23906, , , g95
d23907, , , g432 g3948 g95 g4528
d23908, , p327, g60 g432
d23909, i4353, p104, g504
d23910, , , g4072 g95 g312 g4357 g432
d23912, i23911, p87, g13385
d23914, i12267, p87, g312 g23913
d23915, i40, p77, g312
d23916, , p87 p82, g1916 g95 g498 g430 g432 g60 g2008 g34
d23917, i1791, p82, g95 g430 g774 g7649 g432 g1830 g429 g34
d23919, i1537, , g1916 g23918 g312
d23920, , , g3948
d23921, , , g432
d23922, i1771, p1264 p26 p308 p32 p2119 p77, g586 g1229 g430 g440 g60 g1076
d23923, i1771, p1264 p26 p308 p32 p2119 p77, g586 g1229 g430 g440 g60 g1076
d23924, i1771, p1264 p26 p308 p32 p2119 p77, g586 g1229 g430 g440 g60 g1076
d23925, i12824, p26 p12825, g34 g95
d23926, , p104, g765
d23927, , , g432 g263
d23928, i10119, p87, 
d23929, i12267, , 
d23930, , p161, 
d23931, i10119, p87, 
d23932, i11959, p87, 
d23934, i23933, p87, 
d23935, i4255, p87, g22 g775
d23936, , , g429
d23937, i6665, p77, g312 g95 g432
d23938, , p161, g95 g430
d23939, , p161 p1167, g413 g95 g486 g1279 g566 g3700 g4357
d23940, , p161, g774 g586 g95 g430 g498 g2767 g432 g22 g566 g60 g429 g775 g312
d23941, , p161, g774 g402 g95 g429 g430 g2767 g432 g22 g566 g60 g586 g775 g312
d23942, , p77, g432 g763
d23943, i175, , g1916 g793 g430 g178 g763 g173
d23944, i1537, p82, g402 g3948 g659 g1833
d23945, i175, p161, 
d23946, , , g95 g429 g432 g22 g775 g60 g121 g483
d23947, , , g21409 g136 g5199 g1250 g22 g12500 g1643 g90 g9895 g12501 g12502 g1767
d23948, , , g21409 g5199 g1250 g22 g12500 g1643 g90 g9895 g12501 g12502 g1767
d23949, i4303, p87, 
d23950, i175, , 
d23951, i1537, , g312 g11624 g20
d23952, , p77, 
d23953, , p77, 
d23954, i1537, , 
d23955, i572, , g432
d23956, , p2, 
d23957, , p2, 
d23958, , p2, 
d23959, i1537, , g432 g312 g180 g498
d23960, , , g1833
d23961, , , g1833
d23962, , , g95 g1833 g430
d23963, , , g95 g1833
d23964, , , g432
d23965, , , g432
d23966, i789, , g1916 g765 g60 g312
d23967, , p435, g432
d23968, , , g432
d23969, , , g5006
d23970, , p29, g13 g5006 g432 g3681 g263
d23971, i2776, p4209, 
d23972, i175, p161, g3948 g312
d23973, , , g432
d23974, , p356, g432 g312
d23975, , , g312
d23976, , , g312
d23977, , , g312
d23978, , , g312
d23979, , , g312
d23980, , , g312
d23981, i1318, , g312 g498
d23982, , , g312
d23983, , , g312
d23984, , , g312
d23985, , , g312
d23986, , , g312
d23987, , , g312
d23988, , , g312
d23989, , , g312
d23990, i6, , g312
d23991, i6, , g312
d23992, , , g312 g765 g498
d23993, , p26, g312 g765 g430
d23994, , p87, g312 g430
d23995, , p356, g312
d23996, , , g763 g298
d23997, , , g312 g430 g498 g298
d23998, , , g312
d23999, i5990, , g312 g774 g430 g298
d24000, i4255, p104, 
d24001, i406, p1236, g52 g312 g24 g298
d24002, i382, , g312 g432 g24 g774 g75
d24003, , , g3948
d24004, , , g13 g5006 g432 g3681 g263
d24005, , , g586 g1229 g1993 g3997
d24006, i426, p427, 
d24007, , p104 p82, g432 g20
d24008, i259, , g403 g100 g763 g430 g79
d24009, i1537, , 
d24010, , , g498
d24011, , p77, g430
d24012, , p77, g486
d24013, , p77, g486 g413
d24014, i65, , 
d24015, , , g3948
d24016, , , g60 g432 g3948
d24017, , , g1229
d24018, , , g432 g1229
d24019, , p106, g132 g34
d24020, , p26, g400
d24022, i24021, p796, 
d24025, i24023, p24024 p796 p26, 
d24029, i24026 i24027 i24028, p7164, 
d24032, i24030, p24031, 
d24033, i24030, p24031, 
d24034, i24030, p24031, 
d24035, i24030, p24031, 
d24037, i24030, , g806 g2708 g1057 g24036 g1056
d24038, i24030, p24031, 
d24039, i24030, p24031, 
d24040, i24030, p24031, 
d24041, i7423, p5098 p7280, 
d24042, i24030, p32, 
d24043, i15071, p796, 
d24045, i24044, p24031, 
d24049, i24046 i6, p24047, g24048 g24036
d24051, i24050, p14147 p322 p245, 
d24052, i24030, p24031, 
d24053, i24030, p26 p24031, 
d24054, i24030, p24031, 
d24055, i24030, p24031, 
d24056, i24030, p26 p24031, 
d24057, i24030, p24047 p24031, 
d24058, i24030, p24047 p24031, 
d24059, i24030, p24047 p24031, 
d24060, i24030, p24031, 
d24061, i24030, p24031, 
d24063, i24030, p24031 p24062, 
d24065, i24064, p9350, 
d24071, i24066 i24067 i24068 i24069, p24024 p24070, g1056
d24073, i24050, p26 p24072, g45
d24074, i24030, p24031, 
d24075, i24030, p24031, 
d24076, i24030, p24031, g10279
d24077, i24030, p24031, 
d24078, i24030, p24031, 
d24079, i24030, p24031, 
d24080, i24030, p24031, 
d24081, i24030, p24031, 
d24082, i24030, p24031, 
d24084, , , g9242 g24083 g189 g188
d24085, , p26 p6978, g1056 g1057 g22 g1265
d24086, , , g2708
d24087, , , g1056 g1057
d24089, i24088, p26 p9350, g1056 g10279 g22
d24090, i24030, p26 p24031, g752 g2209 g22 g707
d24091, i24021, p240, 
d24092, i6953, p26 p240, 
d24093, i22109, , 
d24094, i24021, p26 p240, 
d24095, , p701, 
d24096, i6648, , 
d24097, , , g2708 g1265 g839
d24100, i24098, p24099, 
d24102, , p24101, 
d24104, i6971 i24103, p26 p9350, g610
d24106, i24105, p321 p26 p322 p323, 
d24108, , p24107, g7083
d24109, , p24101, g7083
d24110, i9650, , 
d24111, i6665, , 
d24112, , , g2582 g1632
d24113, , , g451 g552
d24114, , p8, 
d24115, i406, p26, 
d24116, i24026, p13115, 
d24117, i13114, p13115, g752
d24118, i13114, p13115, g752
d24119, i9225, p13115, g12334
d24121, i24120, p13115, g12334
d24122, i24120, p13115, g12334
d24123, i24026, p13115, g12334
d24124, i24026, p13115, g12334
d24125, , p43, g38
d24126, , , g5199 g1250 g22 g12500 g9895 g90 g1643 g12501 g12502
d24127, , , g5199 g1250 g22 g12500 g1643 g90 g9895 g12501 g12502
d24128, , , g5199 g1250 g9530 g22 g12500 g9895 g90 g1643 g12501 g12502
d24129, , , g60 g430
d24130, , , g95 g430 g429 g7649 g432 g22 g775 g60 g90
d24131, , , g5199 g1250 g22 g12500 g1643 g90 g9895 g12501 g12502
d24132, , , g21409 g5199 g22 g12500 g1643 g90 g9895 g12501 g12502
d24133, , , g5199 g1250 g22 g12500 g1643 g90 g9895 g12501 g12502
d24134, , , g5199 g1250 g22 g12500 g9895 g90 g1643 g12501 g12502
d24135, , p6064, 
d24136, , p26, 
d24137, , , g22 g20
d24138, i103, p77, g402 g659 g263 g173 g552 g451
d24139, , p43, 
d24140, i175, p8, 
d24142, , p29 p77, g1227 g5076 g24141 g415 g14196
d24143, , p3233 p26, 
d24144, , p26, g52 g566
d24145, , p161, 
d24146, , , g757 g91
d24147, i157, p2617, 
d24148, , p26, g573 g36
d24149, , , g22
d24150, , , g36 g20 g38
d24151, , , g36 g2506 g756 g253 g1852 g54
d24152, i259, p8, 
d24153, , p26, g573 g2522 g210
d24154, , , g400 g3 g54 g45
d24155, , p8, 
d24156, , , g20 g1109
d24157, , , g449
d24158, , , g431 g754 g187 g350
d24159, i259, , g5066 g45 g729 g1128 g4072 g263
d24160, i1366, , 
d24161, , p112, 
d24162, i4113, , 
d24163, , p106, g1204 g108
d24164, , p106, g1503 g1204 g108
d24165, i320, p26, g210
d24166, , p26, 
d24167, , , g298
d24168, i8669, , 
d24169, i688, p161, 
d24170, , , g24
d24172, , , g36 g24171 g573 g4025 g10200 g2876 g609 g8032 g15539 g11064 g20 g37 g158 g1850 g2052 g1955 g38 g544 g54 g2629 g22
d24173, , , g428 g95 g429 g430 g431 g312 g432 g22 g566 g4357 g775 g4358 g1607 g501
d24174, i392, , 
d24175, , p77, g2611 g22
d24176, i19, , 
d24177, , p8, g1638
d24178, , p106, 
d24180, i278, p24179, 
d24181, , , g3
d24182, , , g1204 g54
d24183, i406, , 
d24184, , , g178 g36 g2506 g37
d24185, i228, , g451
d24186, i228, , g451
d24187, i228, , 
d24189, i475 i303 i24188, , g840
d24190, i4113, , 
d24191, , p26, g199 g52 g3 g1335 g45
d24192, i259, p26 p8, 
d24193, i439, p583, 
d24194, , , g22 g3
d24195, i157, p8, g20
d24196, i157, p8, g20
d24197, i259, p8, 
d24198, i1 i65, , 
d24199, , p77, g2611 g22
d24200, , p77, g13841 g2609
d24201, i2022, , 
d24202, , p106 p2706, 
d24203, i157, p1666, g90 g2154 g20 g173
d24204, , p2769, 
d24205, i114, , 
d24206, , , g45
d24207, , p26, g3 g91
d24208, , p77, 
d24209, i1519, p1787 p17, 
d24210, , , g284
d24212, i24211 i1349, p1642, 
d24213, i5295 i1349 i1771 i897, p316, 
d24214, i829, , 
d24215, i831, , 
d24216, i65, p279, 
d24217, , p106, g6207 g1503 g5180
d24218, , p106, g6207 g1503 g5180
d24219, i16, p17, 
d24220, , , g413
d24221, i16, p17, 
d24222, i16, p17, 
d24223, , p161, 
d24224, i537, p583, g90 g22 g20 g79
d24225, i475, p583, g90 g22 g79 g20
d24226, i157, , 
d24227, , p26, 
d24229, i472, p8, g36 g9389 g806 g2506 g599 g807 g24228 g451
d24230, i19411, , g36 g9389 g806 g2506 g599 g807 g24228
d24231, , , g2052 g36 g1723 g4861 g1850
d24233, i24232, , g36
d24234, i3197, , g1024 g2676 g20 g3036 g158 g1103
d24235, i157, p26, g3031 g36 g2676 g573 g574 g3032 g22 g20 g37 g1850 g3 g1852 g3035 g54
d24236, i157, , g3031 g36 g573 g3032 g20 g37 g1850
d24237, i303, p642, 
d24238, i303, p26, g470
d24239, i303, p26, g470
d24240, i7, p2844 p8, g573 g2154 g20 g1850
d24241, , , g8589 g36 g544 g253
d24242, i84, p642 p230, g54
d24243, i2616, p2617, g45 g253
d24244, , p26, 
d24245, , , g2052 g36 g37
d24246, , p26, g400 g6374
d24247, i1140, p26 p240, g90
d24248, , , g2623 g36 g3 g20
d24249, , , g2582 g1632
d24250, , p26, g36 g37
d24251, i540, p642, g54
d24252, , , g10155 g759 g1204 g5338 g9027
d24253, , p26, g1792 g100 g270 g52 g445 g3 g616 g380 g15689 g901
d24254, , p26, g3031 g574 g36 g37 g1850
d24255, , p26, g573 g5158 g2506 g38
d24256, i1164, p642, g845 g756 g1162 g945 g731
d24257, , p642, g2746 g20
d24258, i795, p642, g2676 g54 g756
d24259, i7742, p642, g1723 g54 g158 g6772
d24260, i537, , 
d24261, , , g446
d24262, , p17, 
d24263, , p77, g38
d24264, i288, , 
d24265, , p161, g659 g402
d24266, , p17, g1227 g432 g22
d24267, , , g100
d24268, , , g3681 g131 g563 g20 g45 g132 g451
d24269, i259, p8 p2849, g173
d24270, i2580, p8 p2849, g173
d24271, i7385, p8 p2849, g173
d24272, i572, p8, 
d24273, , p7280, 
d24274, , , g45
d24275, , p161, 
d24276, , p106, 
d24277, , p106, 
d24278, , p106, 
d24279, i182 i19431, , 
d24280, i288, , 
d24281, , p796, 
d24282, i1140, p796, 
d24287, , p26 p279 p245 p24283 p326 p24284 p5399 p322 p24285 p7164 p24286 p321, 
d24290, i24288 i182 i19431, p24289, 
d24292, i24291, , 
d24293, i24030, p24031, 
